Market Cap Rank,S.No.,Name,Ticker,Industry,YFinance Ticker,Screener URL,Market Cap As Of,Market Cap Source,Market Cap Cr
118,164,REC Ltd,RECLTD,Financial Services,RECLTD.NS,https://www.screener.in/company/RECLTD/consolidated/,2026-07-16,Saved Screener.in FII scan,96218.0
119,42,Hero Motocorp,HEROMOTOCO,Automobile,HEROMOTOCO.NS,https://www.screener.in/company/HEROMOTOCO/consolidated/,2026-07-16,Saved Screener.in FII scan,96015.0
120,109,Lodha Developers,LODHA,Real Estate,LODHA.NS,https://www.screener.in/company/LODHA/consolidated/,2026-07-16,Saved Screener.in FII scan,94699.0
121,18,Oracle Fin.Serv.,OFSS,IT,OFSS.NS,https://www.screener.in/company/OFSS/consolidated/,2026-07-16,Saved Screener.in FII scan,94038.0
122,126,Ashok Leyland,ASHOKLEY,Automobile,ASHOKLEY.NS,https://www.screener.in/company/ASHOKLEY/consolidated/,2026-07-16,Saved Screener.in FII scan,93365.0
123,127,Aurobindo Pharma,AUROPHARMA,Pharmaceuticals,AUROPHARMA.NS,https://www.screener.in/company/AUROPHARMA/consolidated/,2026-07-16,Saved Screener.in FII scan,91648.0
124,203,Shree Cement,SHREECEM,Cement,SHREECEM.NS,https://www.screener.in/company/SHREECEM/consolidated/,2026-07-16,Saved Screener.in FII scan,91248.0
125,201,IDBI Bank,IDBI,Banks,IDBI.NS,https://www.screener.in/company/IDBI/consolidated/,2026-07-16,Saved Screener.in FII scan,91073.0
126,223,Lenskart Solut.,LENSKART,,LENSKART.NS,https://www.screener.in/company/LENSKART/consolidated/,2026-07-16,Saved Screener.in FII scan,89057.0
127,231,Meesho,MEESHO,,MEESHO.NS,https://www.screener.in/company/MEESHO/consolidated/,2026-07-16,Saved Screener.in FII scan,88947.0
128,171,FSN E-Commerce,NYKAA,Retail,NYKAA.NS,https://www.screener.in/company/NYKAA/consolidated/,2026-07-16,Saved Screener.in FII scan,88421.0
129,35,Waaree Energies,WAAREEENER,Renewable Energy,WAAREEENER.NS,https://www.screener.in/company/WAAREEENER/consolidated/,2026-07-16,Saved Screener.in FII scan,83881.0
130,157,H P C L,HINDPETRO,Oil & Gas,HINDPETRO.NS,https://www.screener.in/company/HINDPETRO/consolidated/,2026-07-16,Saved Screener.in FII scan,83751.0
131,193,NHPC Ltd,NHPC,Power,NHPC.NS,https://www.screener.in/company/NHPC/consolidated/,2026-07-16,Saved Screener.in FII scan,81666.0
132,197,Federal Bank,FEDERALBNK,Banks,FEDERALBNK.NS,https://www.screener.in/company/FEDERALBNK/consolidated/,2026-07-16,Saved Screener.in FII scan,81104.0
133,177,Laurus Labs,LAURUSLABS,Pharmaceuticals,LAURUSLABS.NS,https://www.screener.in/company/LAURUSLABS/consolidated/,2026-07-16,Saved Screener.in FII scan,81037.0
134,144,SRF,SRF,Chemicals,SRF.NS,https://www.screener.in/company/SRF/consolidated/,2026-07-16,Saved Screener.in FII scan,80946.0
135,224,NTPC Green Ene.,NTPCGREEN,Power,NTPCGREEN.NS,https://www.screener.in/company/NTPCGREEN/consolidated/,2026-07-16,Saved Screener.in FII scan,80724.0
136,102,Adani Total Gas,ATGL,Gas,ATGL.NS,https://www.screener.in/company/ATGL/consolidated/,2026-07-16,Saved Screener.in FII scan,79500.0
137,39,Suzlon Energy,SUZLON,Renewable Energy,SUZLON.NS,https://www.screener.in/company/SUZLON/consolidated/,2026-07-16,Saved Screener.in FII scan,78755.0
