Ticker,Name,Industry,Nifty 500,Nifty MidSmallcap 400,Nifty Smallcap 250,Nifty Midcap 150
PIIND,P I Industries,Chemicals,True,True,False,True
PINELABS,Pine Labs Ltd.,Financial Services,True,True,True,False
PIRAMALFIN,Piramal Finance.,Financial Services,True,True,True,False
PNB,Punjab Natl.Bank,Banks,True,False,False,False
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,True,True,True,False
POLICYBZR,PB Fintech.,Financial Services,True,True,False,True
POLYCAB,Polycab India,Capital Goods,True,True,False,True
POLYMED,Poly Medicure Ltd.,Healthcare,True,True,True,False
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,True,True,True,False
POWERGRID,Power Grid Corpn,Power,True,False,False,False
POWERINDIA,Hitachi Energy,Capital Goods,True,True,False,True
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,True,True,True,False
PREMIERENE,Premier Energies,Renewable Energy,True,True,False,True
PRESTIGE,Prestige Estates,Real Estate,True,True,False,True
PTCIL,PTC Industries Ltd.,Capital Goods,True,True,True,False
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,True,True,True,False
PWL,Physicswallah Ltd.,Consumer Services,True,True,True,False
RADICO,Radico Khaitan,Beverages,True,True,False,True
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,True,True,True,False
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,True,True,True,False
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,True,True,True,False
RBLBANK,RBL Bank Ltd.,Financial Services,True,True,True,False
RECLTD,REC Ltd,Financial Services,True,False,False,False
REDINGTON,Redington Ltd.,Services,True,True,True,False
RELIANCE,Reliance Industries,Oil & Gas,True,False,False,False
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,True,True,True,False
RITES,RITES Ltd.,Construction,True,True,True,False
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,True,True,True,False
RPOWER,Reliance Power Ltd.,Power,True,True,True,False
RRKABEL,R R Kabel Ltd.,Capital Goods,True,True,True,False
RVNL,Rail Vikas,Construction,True,True,False,True
SAGILITY,Sagility Ltd.,Information Technology,True,True,True,False
SAIL,S A I L,Metals,True,True,False,True
SAILIFE,Sai Life Sciences Ltd.,Healthcare,True,True,True,False
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,True,True,True,False
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,True,True,True,False
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,True,True,True,False
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,True,True,True,False
SBFC,SBFC Finance Ltd.,Financial Services,True,True,True,False
SBICARD,SBI Cards,Financial Services,True,True,False,True
SBILIFE,SBI Life Insuran,Insurance,True,False,False,False
SBIN,SBI,Banks,True,False,False,False
SCHAEFFLER,Schaeffler India,Auto Ancillaries,True,True,False,True
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,True,True,True,False
SCI,Shipping Corporation of India Ltd.,Services,True,True,True,False
SHREECEM,Shree Cement,Cement,True,False,False,False
