S.No.,Name,Ticker,Industry
459,Saregama India Ltd,SAREGAMA,Media Entertainment & Publication
460,Schneider Electric Infrastructure Ltd.,SCHNEIDER,Capital Goods
461,Shipping Corporation of India Ltd.,SCI,Services
462,Shyam Metalics and Energy Ltd.,SHYAMMETL,Capital Goods
463,Signatureglobal (India) Ltd.,SIGNATURE,Realty
464,Sobha Ltd.,SOBHA,Realty
465,Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile and Auto Components
466,Sonata Software Ltd.,SONATSOFTW,Information Technology
467,Star Health and Allied Insurance Company Ltd.,STARHEALTH,Financial Services
468,Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals
469,Sun TV Network Ltd.,SUNTV,Media Entertainment & Publication
470,Supreme Petrochem Ltd.,SPLPETRO,Chemicals
471,Swan Corp Ltd.,SWANCORP,Chemicals
472,Syngene International Ltd.,SYNGENE,Healthcare
473,Syrma SGS Technology Ltd.,SYRMA,Capital Goods
474,TBO Tek Ltd.,TBOTEK,Consumer Services
475,Tata Chemicals Ltd.,TATACHEM,Chemicals
476,Tata Elxsi Ltd.,TATAELXSI,Information Technology
477,Tata Investment Corporation Ltd.,TATAINVEST,Financial Services
478,Tata Motors Ltd.,TMCV,Capital Goods
479,Tata Technologies Ltd.,TATATECH,Information Technology
480,Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication
481,Techno Electric & Engineering Company Ltd.,TECHNOE,Construction
482,Tega Industries Ltd.,TEGA,Capital Goods
483,Tejas Networks Ltd.,TEJASNET,Telecommunication
484,Tenneco Clean Air India Ltd.,TENNIND,Automobile and Auto Components
485,The New India Assurance Company Ltd.,NIACL,Financial Services
486,The Ramco Cements Ltd.,RAMCOCEM,Construction Materials
487,Timken India Ltd.,TIMKEN,Capital Goods
488,Titagarh Rail Systems Ltd.,TITAGARH,Capital Goods
489,Transformers And Rectifiers (India) Ltd.,TARIL,Capital Goods
490,Travel Food Services Ltd.,TRAVELFOOD,Consumer Services
491,Trident Ltd.,TRIDENT,Textiles
492,Triveni Turbine Ltd.,TRITURBINE,Capital Goods
493,UCO Bank,UCOBANK,Financial Services
494,UTI Asset Management Company Ltd.,UTIAMC,Financial Services
495,Urban Company Ltd.,URBANCO,Consumer Services
496,Usha Martin Ltd.,USHAMART,Capital Goods
497,Vardhman Textiles Ltd.,VTL,Textiles
498,Vijaya Diagnostic Centre Ltd.,VIJAYA,Healthcare
499,Welspun Corp Ltd.,WELCORP,Capital Goods
500,Welspun Living Ltd.,WELSPUNLIV,Textiles
501,Whirlpool of India Ltd.,WHIRLPOOL,Consumer Durables
502,Wockhardt Ltd.,WOCKPHARMA,Healthcare
503,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile and Auto Components
504,Zee Entertainment Enterprises Ltd.,ZEEL,Media Entertainment & Publication
505,Zen Technologies Ltd.,ZENTEC,Capital Goods
506,Zensar Technolgies Ltd.,ZENSARTECH,Information Technology
507,Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods
508,eClerx Services Ltd.,ECLERX,Services
509,Company Name,Symbol,Industry
510,ASK Automotive Ltd.,ASKAUTOLTD,Automobile and Auto Components
511,AXISCADES Technologies Ltd.,AXISCADES,Capital Goods
512,Aarti Drugs Ltd.,AARTIDRUGS,Healthcare
